dataset,checkpoint,split,scope,client_id,count,mean,std,min,p50,p90,p95,p99,max,checkpoint_file,config
PHISHING,best_checkpoint,poison_test,all_client_positions,2,17730,24906.2,9211.27,1.19209e-07,28328.4,28328.4,28328.4,28328.4,72297,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
PHISHING,best_checkpoint,poison_test,remaining_client_positions,2,1459,16242.9,14000.1,1.19209e-07,28328.4,28328.4,28328.4,28328.4,28328.4,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/PHISHING_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,all_client_positions,all,37194,2473.34,51287,0.000255171,37.1594,765.715,2640.77,34659.1,7.59775e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,remaining_client_positions,all,4917,182.288,4402.59,0.000718762,4.89638,51.0226,127.71,358.789,137475,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,all_client_positions,0,12398,5954.61,87990.4,0.000318247,81.6371,2755.82,9853.51,106319,7.59775e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,remaining_client_positions,0,659,109.929,1157.41,0.0011857,1.83051,16.2841,50.5984,1441.53,23229.6,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,all_client_positions,1,12398,179.773,723.296,0.00321984,23.1266,206.539,856.394,3394.9,21573.5,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,remaining_client_positions,1,2071,28.4432,144.281,0.00652744,7.92022,37.0373,71.8626,191.924,3579.45,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,all_client_positions,2,12398,1285.63,11377,0.000255171,43.4852,198.575,1063.35,18089.4,137475,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,clean_test,remaining_client_positions,2,2187,349.776,6565.26,0.000718762,6.72114,80.0125,159.397,309.688,137475,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,all_client_positions,all,37194,12502.1,56787.5,0.000255171,69.1253,52727.6,61403.3,100902,7.59775e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,remaining_client_positions,all,18200,2281.89,21729.8,0.000318247,23.1266,664.225,2814.45,52727.6,690262,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,all_client_positions,0,12398,5954.61,87990.4,0.000318247,81.6371,2755.82,9853.51,106319,7.59775e+06,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,remaining_client_positions,0,7932,4659.35,32128.1,0.000318247,88.8424,3139.02,11052.6,106159,690262,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,all_client_positions,1,12398,179.773,723.296,0.00321984,23.1266,206.539,856.394,3394.9,21573.5,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,remaining_client_positions,1,8962,48.4558,134.654,0.00652744,23.1266,132.753,188.121,436.157,3579.45,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,all_client_positions,2,12398,31371.8,37159.9,0.000255171,20590.1,64033.8,86316.5,132560,922305,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,final_latest,poison_test,remaining_client_positions,2,1306,3168.55,15543.4,0.000718762,11.902,166.447,13072,81766.1,172153,latest_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,all_client_positions,all,37194,2442.4,77829.9,0.000116012,25.0788,767.876,2547.56,33039.2,1.07466e+07,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,remaining_client_positions,all,4677,187.762,4298.98,0.000677901,4.14744,38.6492,70.58,286.891,137475,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,all_client_positions,0,12398,6084.04,134339,0.000677901,88.0504,2788.16,10249.9,101536,1.07466e+07,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,remaining_client_positions,0,593,380.575,4276.76,0.000677901,1.7387,16.3963,51.869,5083.94,74394.7,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
IEEE_CIS_FRAUD,best_checkpoint,clean_test,all_client_positions,1,12398,178.381,726.832,0.000338464,25.0788,234.108,860.558,3240.28,20716.7,best_checkpoint.pth.tar,configs/avguard/stage3_gamma_sensitivity_3clients_noema/IEEE_CIS_FRAUD_3clients_noema_gamma_2.0.json
